# ps
PID   USER     TIME  COMMAND
    1 root      0:04 {systemd} /sbin/init
    2 root      0:00 [kthreadd]
    3 root      0:00 [rcu_gp]
    4 root      0:00 [kworker/0:0]
    6 root      0:00 [kworker/u2:0]
    7 root      0:00 [mm_percpu_wq]
    8 root      0:00 [ksoftirqd/0]
    9 root      0:00 [rcu_preempt]
   10 root      0:00 [rcu_sched]
   11 root      0:00 [rcu_bh]
   12 root      0:00 [kdevtmpfs]
   13 root      0:00 [netns]
   14 root      0:00 [kworker/0:1]
   15 root      0:00 [kworker/u2:1]
   16 root      0:00 [msm_watchdog]
   18 root      0:00 [ipa_usb_wq]
   19 root      0:00 [qmp_aop]
   20 root      0:00 [oom_reaper]
   21 root      0:00 [writeback]
   22 root      0:00 [kcompactd0]
   23 root      0:00 [crypto]
   24 root      0:00 [kblockd]
   25 root      0:00 [irq/42-arm-smmu]
   26 root      0:00 [irq/35-tsens-up]
   27 root      0:00 [irq/36-tsens-cr]
   28 root      0:00 [system]
   29 root      0:00 [ipa_power_mgmt]
   30 root      0:00 [transport_power]
   31 root      0:00 [ipa_pm_activate]
   32 root      0:00 [ipa_eth]
   33 root      0:00 [ipa_eth_wq]
   34 root      0:00 [devfreq_wq]
   35 root      0:00 [cfg80211]
   36 root      0:07 [kworker/0:2]
   37 root      0:00 [rpciod]
   38 root      0:00 [xprtiod]
   39 root      0:00 [kauditd]
   40 root      0:00 [kswapd0]
   41 root      0:00 [nfsiod]
   42 root      0:00 [cifsiod]
   43 root      0:00 [cifsoplockd]
   86 root      0:00 [irq/32-smp2p]
   87 root      0:00 [k_hsuart]
   88 root      0:00 [msm_serial_hs_0]
   89 root      0:00 [msm_serial_hs_0]
   90 root      0:00 [hwrng]
   92 root      0:00 [diag_real_time_]
   93 root      0:00 [diag_wq]
   95 root      0:00 [DIAG_USB_diag]
   96 root      0:00 [diag_cntl_wq]
   97 root      0:00 [diag_dci_wq]
   98 root      0:00 [MODEM_CNTL]
   99 root      0:00 [MODEM_DATA]
  100 root      0:00 [MODEM_CMD]
  101 root      0:00 [MODEM_DCI]
  102 root      0:00 [MODEM_DCI_CMD]
  103 root      0:00 [LPASS_CNTL]
  104 root      0:00 [LPASS_DATA]
  105 root      0:00 [LPASS_CMD]
  106 root      0:00 [LPASS_DCI]
  107 root      0:00 [LPASS_DCI_CMD]
  108 root      0:00 [WCNSS_CNTL]
  109 root      0:00 [WCNSS_DATA]
  110 root      0:00 [WCNSS_CMD]
  111 root      0:00 [WCNSS_DCI]
  112 root      0:00 [WCNSS_DCI_CMD]
  113 root      0:00 [SENSORS_CNTL]
  114 root      0:00 [SENSORS_DATA]
  115 root      0:00 [SENSORS_CMD]
  116 root      0:00 [SENSORS_DCI]
  117 root      0:00 [SENSORS_DCI_CMD]
  118 root      0:00 [DIAG_CTRL]
  119 root      0:00 [DIAG_DATA]
  120 root      0:00 [DIAG_CMD]
  121 root      0:00 [DIAG_DCI_DATA]
  122 root      0:00 [DIAG_DCI_CMD]
  123 root      0:00 [CDSP_CNTL]
  124 root      0:00 [CDSP_DATA]
  125 root      0:00 [CDSP_CMD]
  126 root      0:00 [CDSP_DCI]
  127 root      0:00 [CDSP_DCI_CMD]
  128 root      0:00 [NPU_CNTL]
  129 root      0:00 [NPU_DATA]
  130 root      0:00 [NPU_CMD]
  131 root      0:00 [NPU_DCI]
  132 root      0:00 [NPU_DCI_CMD]
  133 root      0:00 [DIAG_RPMSG_DIAG]
  134 root      0:00 [DIAG_RPMSG_DIAG]
  135 root      0:00 [DIAG_RPMSG_DIAG]
  136 root      0:00 [DIAG_RPMSG_DIAG]
  137 root      0:00 [DIAG_RPMSG_DIAG]
  138 root      0:00 [kworker/u2:2]
  139 root      0:00 [diag_mhi_MDM]
  140 root      0:00 [DIAG_USB_diag_m]
  141 root      0:00 [kworker/u2:3]
  142 root      0:00 [kworker/u2:4]
  143 root      0:00 [diag_mhi_MDM_DC]
  144 root      0:00 [kworker/u2:5]
  145 root      0:00 [diag_dci_MDM_DC]
  146 root      0:00 [kworker/u2:6]
  147 root      0:00 [kworker/u2:7]
  148 root      0:00 [qseecom-unreg-l]
  149 root      0:00 [atlantic-fwd]
  150 root      0:00 [irq/60-pwr_even]
  151 root      0:00 [irq/59-dp_hs_ph]
